Nr Tasks, time
2.0,5.888938903808594e-05
2.0,3.0517578125e-05
2.0,4.029273986816406e-05
2.0,2.09808349609375e-05
2.0,9.417533874511719e-05
2.0,1.8835067749023438e-05
2.0,9.775161743164062e-05
2.0,0.00010323524475097656
2.0,7.009506225585938e-05
2.0,3.6716461181640625e-05
2.0,8.630752563476562e-05
2.0,9.34600830078125e-05
2.0,7.82012939453125e-05
2.0,4.744529724121094e-05
2.0,4.9591064453125e-05
2.0,9.72747802734375e-05
2.0,7.987022399902344e-05
2.0,4.506111145019531e-05
2.0,2.8848648071289062e-05
2.0,6.699562072753906e-05
2.0,0.0001366138458251953
2.0,1.7404556274414062e-05
2.0,0.000102996826171875
2.0,2.8848648071289062e-05
2.0,7.700920104980469e-05
2.0,5.435943603515625e-05
2.0,6.079673767089844e-05
2.0,6.031990051269531e-05
2.0,7.557868957519531e-05
2.0,6.0558319091796875e-05
2.0,7.963180541992188e-05
2.0,7.62939453125e-05
2.0,6.985664367675781e-05
2.0,1.811981201171875e-05
2.0,2.0742416381835938e-05
2.0,6.628036499023438e-05
2.0,5.4836273193359375e-05
2.0,3.910064697265625e-05
2.0,2.5510787963867188e-05
2.0,8.535385131835938e-05
2.0,7.510185241699219e-05
2.0,5.650520324707031e-05
2.0,5.8650970458984375e-05
2.0,3.3855438232421875e-05
2.0,2.0503997802734375e-05
2.0,6.890296936035156e-05
2.0,4.291534423828125e-05
2.0,3.075599670410156e-05
2.0,7.557868957519531e-05
2.0,0.00011157989501953125
2.0,2.47955322265625e-05
2.0,2.4080276489257812e-05
2.0,0.00012350082397460938
2.0,7.104873657226562e-05
2.0,2.6226043701171875e-05
2.0,4.029273986816406e-05
2.0,2.7179718017578125e-05
2.0,0.0001220703125
2.0,3.4332275390625e-05
2.0,2.5033950805664062e-05
2.0,6.771087646484375e-05
2.0,2.5272369384765625e-05
2.0,3.1948089599609375e-05
2.0,8.463859558105469e-05
2.0,9.5367431640625e-05
2.0,0.00011801719665527344
2.0,6.866455078125e-05
2.0,4.935264587402344e-05
2.0,0.00013399124145507812
2.0,3.337860107421875e-05
2.0,9.942054748535156e-05
2.0,3.8623809814453125e-05
2.0,0.00010991096496582031
2.0,2.4080276489257812e-05
2.0,0.0001068115234375
2.0,3.24249267578125e-05
2.0,4.673004150390625e-05
2.0,2.574920654296875e-05
2.0,3.361701965332031e-05
2.0,4.076957702636719e-05
2.0,0.00010251998901367188
2.0,1.8835067749023438e-05
2.0,8.368492126464844e-05
2.0,0.00010180473327636719
2.0,1.811981201171875e-05
2.0,2.5510787963867188e-05
2.0,0.0001068115234375
2.0,8.153915405273438e-05
2.0,4.57763671875e-05
2.0,5.3882598876953125e-05
2.0,3.0994415283203125e-05
2.0,4.839897155761719e-05
2.0,3.504753112792969e-05
2.0,2.2172927856445312e-05
2.0,3.0994415283203125e-05
2.0,5.245208740234375e-05
2.0,2.0265579223632812e-05
2.0,8.416175842285156e-05
2.0,1.7404556274414062e-05
2.0,4.00543212890625e-05
2.0,0.00012683868408203125
2.0,4.076957702636719e-05
2.0,3.0279159545898438e-05
2.0,0.00011324882507324219
2.0,4.887580871582031e-05
2.0,3.075599670410156e-05
2.0,6.318092346191406e-05
