Nr Tasks, time
100.0,0.010444879531860352
100.0,0.007480144500732422
100.0,0.008407115936279297
100.0,0.009866476058959961
100.0,0.00961446762084961
100.0,0.008761405944824219
100.0,0.007973432540893555
100.0,0.00944066047668457
100.0,0.008617639541625977
100.0,0.007954835891723633
100.0,0.008010625839233398
100.0,0.008188724517822266
100.0,0.00752568244934082
100.0,0.009027957916259766
100.0,0.0077397823333740234
100.0,0.007630109786987305
100.0,0.009173154830932617
100.0,0.00905919075012207
100.0,0.009469270706176758
100.0,0.009527206420898438
100.0,0.008132696151733398
100.0,0.008366107940673828
100.0,0.011967182159423828
100.0,0.011852741241455078
100.0,0.009651660919189453
100.0,0.008234739303588867
100.0,0.0069866180419921875
100.0,0.008990049362182617
100.0,0.009108781814575195
100.0,0.00868082046508789
100.0,0.008381843566894531
100.0,0.0101165771484375
100.0,0.006857395172119141
100.0,0.009005308151245117
100.0,0.008022308349609375
100.0,0.008517265319824219
100.0,0.00781559944152832
100.0,0.010280847549438477
100.0,0.009395599365234375
100.0,0.008147001266479492
100.0,0.008732080459594727
100.0,0.009392023086547852
100.0,0.00811767578125
100.0,0.012187004089355469
100.0,0.008876323699951172
100.0,0.011105060577392578
100.0,0.01018524169921875
100.0,0.010889291763305664
100.0,0.011194944381713867
100.0,0.007883787155151367
100.0,0.008473634719848633
100.0,0.008582353591918945
100.0,0.008486032485961914
100.0,0.00832819938659668
100.0,0.007319927215576172
100.0,0.007293701171875
100.0,0.008669853210449219
100.0,0.011324405670166016
100.0,0.007894039154052734
100.0,0.00889897346496582
100.0,0.007144927978515625
100.0,0.009413719177246094
100.0,0.009482860565185547
100.0,0.010174036026000977
100.0,0.008777379989624023
100.0,0.010931253433227539
100.0,0.008696556091308594
100.0,0.010107755661010742
100.0,0.007883548736572266
100.0,0.010869741439819336
100.0,0.007402896881103516
100.0,0.009248733520507812
100.0,0.008167028427124023
100.0,0.008109807968139648
100.0,0.010908365249633789
100.0,0.008274078369140625
100.0,0.009724617004394531
100.0,0.009440183639526367
100.0,0.008315086364746094
100.0,0.008268117904663086
100.0,0.008707284927368164
100.0,0.010931968688964844
100.0,0.008667707443237305
100.0,0.007912158966064453
100.0,0.0077953338623046875
100.0,0.009538412094116211
100.0,0.007657289505004883
